Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,Doi,Ref,Study,Notes
Prescribers' responses to alerts during medication ordering in the long term care setting,"Judge, James; Field, Terry S.; DeFlorio, Martin; Laprino, Jane; Auger, Jill; Rochon, Paula; Bates, David W.; Gurwitz, Jerry H.","Objective: Computerized physician order entry with clinical decision support has been shown to improve medication safety in adult inpatients, but few data are available regarding its usefulness in the long-term care setting. The objective of this study was to examine opportunities for improving medication safety in that clinical setting by determining the proportion of medication orders that would generate a warning message to the prescriber via a computerized clinical decision support system and assessing the extent to which these alerts would affect prescribers' actions. Design: The study was set within a randomized controlled trial of computerized clinical decision support conducted in the long-stay units of a large, academically-affiliated long-term care facility. In March 2002, a computer-based clinical decision support system (CDSS) was added to an existing computerized physician order entry (CPOE) system. Over a subsequent one-year study period, prescribers ordering drugs for residents on three resident-care units of the facility were presented with alerts; these alerts were not displayed to prescribers in the four control units. Measurements: We assessed the frequency of drug orders associated with various categories of alerts across all participating units of the facility. To assess the impact of actually receiving an alert on prescriber behavior during drug ordering, we calculated separately for the intervention and control units the proportion of the alerts, within each category, that were followed by an appropriate action and estimated the relative risk of an appropriate action m the intervention units compared to the control units. Results: During the 12 months of the study, there were 445 residents on the participating units of the facility, contributing 3,726 resident-months of observation time. During this period, 47,997 medication orders were entered through the CPOE system-approximately 9 medication orders per resident per month. 9,414 alerts were triggered (2.5 alerts per resident-month). The alert categories most often triggered were related to risks of central nervous system side-effects such as over-sedation (20%). Alerts for risk of drug-associated constipation (13%) or renal insufficiency/electrolyte imbalance (12%) were also common. Twelve percent of the alerts were related to orders for warfarin. Overall, prescribers who received alerts were only slightly more likely to take an appropriate action (relative risk 1.11, 95% confidence interval 1.00, 1.22). Alerts related to orders for warfarin or central nervous system side effects were most likely to engender an appropriate action, such as ordering a recommended laboratory test or canceling an ordered drug. Conclusion: Long-term care facilities must implement new system-level approaches with the potential to improve medication safety for their residents. The number of medication orders that triggered a warning message in this study suggests that CPOE with a clinical decision support system may represent one such tool. However, the relatively low rate of response to these alerts suggests that further refinements to such systems are required, and that their impact on medication errors and adverse drug events must be carefully assessed.",2006,Jul-Aug,Journal of the American Medical Informatics Association,13,4,385-390,WOS:000239072800004,10.1197/jamia.M1945,"",Judge 2006,Exclusion reason: Not multi-faceted; 
Using a claims data-based sentinel system to improve compliance with clinical guidelines: Results of a randomized prospective study,"Javitt, J. C.; Steinberg, G.; Locke, T.; Couch, J. B.; Jacgues, J.; Juster, I.; Reisman, L.","Objective: To demonstrate the potential effect of deploying a sentinel system that scans administrative claims information and clinical data to detect and mitigate errors in care and deviations from best medical practices. Methods: Members (n = 39 462; age range, 12-64 years) of a midwestern managed care plan were randomly assigned to an intervention or a control group. The sentinel system was programmed with more than 1000 decision rules that were capable of generating clinical recommendations. Clinical recommendations triggered for subjects in the intervention group were relayed to treating physicians, and those for the control group were deferred to study end. Results: Nine hundred eight clinical recommendations were issued to the intervention group. Among those in both groups who triggered recommendations, there were 19% fewer hospital admissions in the intervention group compared with the control group (P < .001). Charges among those whose recommendations were communicated were $77.91 per member per month (pmpm) lower and paid claims were $68.08 pmpm lower than among controls compared with the baseline values (P = .003 for both). Paid claims for the entire intervention group (with or without recommendations) were $8.07 pmpm lower than those for the entire control group. In contrast, the intervention cost $1.00 pmpm, suggesting an 8-fold return on investment. Conclusion: Ongoing use of a sentinel system to prompt clinically actionable, patient-specific alerts generated from administratively derived clinical data was associated with a reduction in hospitalization, medical costs, and morbidity.",2005,Feb,American Journal of Managed Care,11,2,93-102,WOS:000226826100004,"","",Javitt 2005,Exclusion reason: Not previously evaluated; 
Information technology and medical missteps: Evidence from a randomized trial,"Javitt, Jonathan C.; Rebitzer, James B.; Reisman, Lonny","We analyze the effect of a decision support tool designed to help physicians detect and correct medical ""missteps"". The data comes from a randomized trial of the technology on a population of commercial HMO patients. The key findings are that the new information technology lowers average charges by 6% relative to the control group. This reduction in resource utilization was the result of reduced in-patient charges (and associated professional charges) for the most costly patients. The rate at which identified issues were resolved was generally higher in the study group than in the control group, suggesting the possibility of improvements in care quality along measured dimensions and enhanced diffusion of new protocols based on new clinical evidence. (C) 2007 Elsevier B.V. All rights reserved.",2008,May,Journal of Health Economics,27,3,585-602,WOS:000256841800004,10.1016/j.jhealeco.2007.10.008,"",Javitt 2008,Exclusion reason: Not previously evaluated; 
Implementing clinical guidelines in the treatment of hypertension in general practice,"Hetlevik, I.; Holmen, J.; Kruger, O.; Kristensen, P.; Iversen, H.","Discrepancies between clinical guidelines and clinical practice call for practical implementation strategies. This study evaluates the implementation of clinical guidelines for hypertension in general practice with a specific computer-based clinical decision support system (CDSS) as part of the intervention. We carried out a randomized study of general practice health centres in Sor- and Nord-Trondelag counties in Norway (population 380000). A total of 17 health centres were included, with 24 doctors and 984 patients in the intervention group. Data from 887 patients was used in the analyses. There were 12 health centres with 29 doctors and 1255 patients in the control group. Data from 1127 control patients was used in the analyses. The main outcome measures were doctor's behaviour, measured by adherence to registration of recommended variables in the Norwegian clinical guidelines for hypertension. The aim of the intervention was to lower the fractions of patients without registrations. However, there were no clinically significant differences between the intervention group and the control group for fractions of patients without registration of blood pressure (intervention group 14.3%, control group 14.2%) or serum cholesterol (62.3% vs. 56.8%) during 12 months, nor, during 18 months, for fractions of patients without a registration of cigarette smoking (82.9% vs. 87.1%), cardiovascular inheritance (79.5% vs. 73.4%) and body mass index (81.5% vs. 89.2%). One or several variables necessary for calculation of risk score for myocardial infarction were missing in 91.7% of patients in the intervention group and 91.9% of patients in the control group. Large centre variations were shown for all variables. Implementation of clinical guidelines in the treatment of hypertensive patients in general practice, by means of a CDSS and several procedures for implementation did not result in clinically significant changes in the doctors' behaviour. Of importance are both the lack of user-friendliness of the specific CDSS and problems in performing time-consuming multidimensional procedures.",1998,1998-Nov,Blood pressure,7,5-6,270-6,MEDLINE:10321438,"","",Hetlevik 1998,Exclusion reason: Only abstract available; Pepijn Looije (2016-03-30 21:29:30)(Select): Deze paper zit niet in de references van Roshanov's review; 
Clinical reminders attached to echocardiography reports of patients with reduced left ventricular ejection fraction increase use of beta-blockers - A randomized trial,"Heidenreich, Paul A.; Gholami, Parisa; Sahay, Anju; Massie, Barry; Goldstein, Mary K.","Background-Although beta-blockers are known to prolong survival for patients with reduced left ventricular ejection fraction, they are often underused. We hypothesized that a reminder attached to the echocardiography report would increase the use of beta-blockers for patients with reduced left ventricular ejection fraction. Methods and Results-We randomized 1546 consecutive patients with a left ventricular ejection fraction < 45% found on echocardiography at 1 of 3 laboratories to a reminder for use of beta-blockers or no reminder. Patients were excluded from analysis if they died within 30 days of randomization (n = 89), did not receive medications through the Veterans Affairs system after 30 days ( n = 180), or underwent echocardiography at > 1 laboratory ( n = 6). The primary outcome was a prescription for an oral beta-blocker between 1 and 9 months after randomization. The mean age of the 1271 included patients was 69 years; 60% had a history of heart failure, and 51% were receiving treatment with beta- blockers at the time of echocardiography. More patients randomized to the reminder had a subsequent beta- blocker prescription (74%, 458 of 621) compared with those randomized to no reminder (66%, 428 of 650; P = 0.002). The effect of the reminder was not significantly different for subgroups based on patient location ( inpatient versus outpatient) or prior use of beta-blockers. Conclusions-A reminder attached to the echocardiography report increased the use of beta-blockers in patients with depressed left ventricular systolic function.",2007,Jun 5,Circulation,115,22,2829-2834,WOS:000246972600008,10.1161/CIRCULATIONAHA.106.684753,"",Heidenreich 2007,Exclusion reason: Not multi-faceted; 
ACE inhibitor reminders attached to echocardiography reports of patients with reduced left ventricular ejection fraction,"Heidenreich, P. A.; Chacko, M.; Goidstein, M. K.; Atwood, J. E.","Although treatment with angiotensin-converting enzyme (ACE) inhibitors is known to improve outcome for patients with left ventricular dysfunction, (1,2) their use in the community has been suboptimal.(3) Even when ACE inhibitors are prescribed, the dose used is usually below what has been shown to be effective in randomized clinical trials.(4) The goal of this study was to determine if the addition of a reminder to the echocardiography report for patients with a reduced ejection fraction could increase the use of moderate or greater doses of ACE inhibitors or alternative appropriate treatment (eg, angiotensin receptor blockers).",2005,Sep,American Journal of Medicine,118,9,1034-1037,WOS:000231807300018,10.1016/j.amjmed.2004.12.028,"",Heidenreich 2005,Exclusion reason: Not multi-faceted; 
Process evaluation of a cluster randomized trial of tailored interventions to implement guidelines in primary care - why is it so hard to change practice?,"Flottorp, S.; Havelsrud, K.; Oxman, A. D.","Background. A cluster randomized trial of tailored interventions to support the implementation of guidelines for sore throat and urinary tract infection found little or no change in the main outcomes, which were antibiotic prescriptions, use of laboratory tests and use of telephone consultations. There was great variation between the practices in the change in these outcomes. Objectives. Our aim was to evaluate how the interventions were received and to understand why practices did or did not change. Methods. The trial was conducted in general practices in Norway. Data for this process evaluation were collected from the 120 practices that completed the trial. Multiple methods were used: observations, semi-structured telephone interviews, a postal survey and data extracted from electronic medical records. We investigated factors that might explain a lack of change, including: agreement with the guidelines; communication within each practice; degree of participation in the project; taking time to discuss the guidelines and their implementation; use of the components of the interventions; and routines for telephone consultations. Possible explanatory factors were explored in relation to variation in change and the overall extent of change in rates of use of antibiotics, laboratory tests and telephone consultations. Results. Sixty-three per cent of practices agreed with the guidelines. Only 35% reported having regular meetings, and 33% discussed the project before its start, although 75% reported agreement about participating within the practice. Only 33% reported meeting to discuss the guidelines. Use of the components of the interventions ranged from 11% for the increased fee for telephone consultations to 48% for the computerized decision support. Forty-four per cent reported problems with telephone routines. No single factor explained the observed variation in the extent of change across practices. Conclusions. Inadequate time, resources and support were the most salient factors that might explain a lack of change. Problems with internal communication and telephone routines were important contributing factors in many practices.",2003,Jun,Family Practice,20,3,333-339,WOS:000182744300016,10.1093/fampra/cmg316,"",Flottorp 2003,Exclusion reason: Not multi-faceted; 
"Computerized Decision Support to Reduce Potentially Inappropriate Prescribing to Older Emergency Department Patients: A Randomized, Controlled Trial","Terrell, Kevin M.; Perkins, Anthony J.; Dexter, Paul R.; Hui, Siu L.; Callahan, Christopher M.; Miller, Douglas K.","OBJECTIVES To evaluate the effectiveness of computer-assisted decision support in reducing potentially inappropriate prescribing to older adults. DESIGN Randomized, controlled trial. SETTING An academic emergency department (ED) in Indianapolis, Indiana, where computerized physican order entry was used to write all medication prescriptions. PARTICIPANTS Sixty-three emergency physicians were randomized to the intervention (32 physicians) or control (31 physicians) group. INTERVENTION Decision support that advised against use of nine potentially inappropriate medications and recommended safer substitute therapies. MEASUREMENTS The primary outcome was the proportion of ED visits by seniors that resulted in one or more prescriptions for an inappropriate medication. The main secondary outcomes were the proportions of medications prescribed that were inappropriate and intervention physicians' reasons for rejecting the decision support. RESULTS The average age of the patients was 74, two-thirds were female, and just over half were African American. Decision support was provided 114 times to intervention physicians, who accepted 49 (43%) of the recommendations. Intervention physicians prescribed one or more inappropriate medications during 2.6% of ED visits by seniors, compared with 3.9% of visits managed by control physicians (P=.02; odds ratio=0.55, 95% confidence interval=0.34-0.89). The proportion of all prescribed medications that were inappropriate significantly decreased from 5.4% to 3.4%. The most common reason for rejecting decision support was that the patient had no prior problems with the medication. CONCLUSION Computerized physican order entry with decision support significantly reduced prescribing of potentially inappropriate medications for seniors. This approach might be used in other efforts to improve ED care.Trial Registration: Clinical trials.gov Identifier: NCT00297869.",2009,Aug,Journal of the American Geriatrics Society,57,8,1388-1394,WOS:000268533100007,10.1111/j.1532-5415.2009.02352.x,"",Terrell 2009,Exclusion reason: Not multi-faceted; 
A patient decision aid to support shared decision-making on anti-thrombotic treatment of patients with atrial fibrillation: randomised controlled trial,"Thomson, Richard G.; Eccles, Martin P.; Steen, I. Nick; Scheme, Jane Reenaway The Smj Journal Unlocked; Stobbart, Lynne; Murtagh, Madeleine J.; May, Carl R.","Objective: To determine the efficacy of a computerised decision aid in patients with atrial fibrillation making decisions on whether to take warfarin or aspirin therapy. Design: Two-armed open exploratory randomised controlled trial. Setting: Two research clinics deriving participants from general practices in Northeast England. Participants: 109 patients with atrial fibrillation aged over 60. Interventions: Computerised decision aid applied in shared decision-making clinic compared to evidence-based paper guidelines applied as direct advice. Main outcome measures: Primary outcome measure was the decision conflict scale. Secondary outcome measures included anxiety, knowledge, decision-making preference, treatment decision, use of primary and secondary care services and health outcomes. Results: Decision conflict was lower in the computerised decision aid group immediately after the clinic; mean difference -0.18 (95% Cl -0.34 to -0.01). Participants in this group not already on warfarin were much less likely to start warfarin than those in the guidelines arm (4/16, 25% compared to the guidelines group 15/16, 93.8%, RR 0.27, 95% Cl 0.11 to 0.63). Conclusions: Decision conflict was lower immediately following the use of a computerised decision aid in a shared decision-making consultation than immediately following direct doctor-led advice based on paper guidelines. Furthermore, participants in the computerised decision aid group were significantly much less likely to start warfarin than those in the guidelines arm. The results show that such an approach has a positive impact on decision conflict comparable to other studies of decision aids, but also reduces the uptake of a clinically effective treatment that may have important implications for health outcomes.",2007,Jun,Quality & Safety in Health Care,16,3,216-223,WOS:000246923000012,10.1136/qshc.2006.018481,"",Thomson 2007,Exclusion reason: Not multi-faceted; 
Randomized trial to improve prescribing safety in ambulatory elderly patients,"Raebel, Marsha A.; Charles, Jeanya; Dugan, Jennifer; Carroll, Nikki M.; Korner, Eli J.; Brand, David W.; Magid, David J.","OBJECTIVES: To determine whether a computerized tool that alerted pharmacists when patients aged 65 and older were newly prescribed potentially inappropriate medications was effective in decreasing the proportion of patients dispensed these medications. DESIGN:Prospective, randomized trial. SETTING:U.S. health maintenance organization. PARTICIPANTS:All 59,680 health plan members aged 65 and older were randomized to intervention (n=29,840) or usual care (n=29,840). Pharmacists received alerts on all patients randomized to intervention who were newly prescribed a targeted medication. INTERVENTION:Prescription and age information were linked to alert pharmacists when a patient aged 65 and older was newly prescribed one of 11 medications that are potentially inappropriate in older people. MEASUREMENTS:Physicians and pharmacists collaborated to develop the targeted medication list, indications for medication use for which an intervention should occur, intervention guidelines and scripts, and to implement the intervention. RESULTS:Over the 1-year study, 543 (1.8%) intervention group patients aged 65 and older were newly dispensed prescriptions for targeted medications, compared with 644 (2.2%) usual care group patients (P=.002). For medication use indications in which an intervention should occur, dispensings of amitriptyline (P <.001) and diazepam (P=.02) were reduced. CONCLUSIONS: This study demonstrated the effectiveness of a computerized pharmacy alert system plus collaboration between healthcare professionals in decreasing potentially inappropriate medication dispensings in elderly patients. Coupling data available from information systems with the knowledge and skills of physicians and pharmacists can improve prescribing safety in patients aged 65 and older.",2007,Jul,Journal of the American Geriatrics Society,55,7,977-985,WOS:000247607100001,10.1111/j.1532-5415.2007.01202.x,"",Raebel 2007,Exclusion reason: Not multi-faceted; 
Cost-effectiveness of an intervention based on the Global INitiative for Asthma (GINA) recommendations using a computerized clinical decision support system: a physicians randomized trial,"Plaza, V.; Cobos, A.; Ignacio-Garcia, J. M.; Molina, J.; Bergonon, S.; Garcia-Alonso, F.; Espinosa, C.","BACKGROUND AND OBJECTIVE: To assess the cost-effectiveness of an intervention based on the Global INitiative for Asthma (GINA) recomendations as compared to usual care. SUBJECTS AND METHOD: Pragmatic, cluster-randomised trial. Ten neumologysts and 10 general practitioners were randomised to an intervention or control group, recruiting 98 and 100 asthma patients, respectively. The intervention consisted of an education program and a clinical decision support system (CDSS) providing recommendations based on the GINA. The control group was characterized by usual care. Effectiveness was assessed by the health related quality of life as measured by the St. George's Respiratory Questionnaire (SGRQ). Costs were computed from the resource consumption recorded during a 12 months follow-up period, and the cost-effectiveness of the intervention was investigated in an incremental analysis. RESULTS: The intervention effect on the SGRQ total score was estimated as a 6.8 point reduction (95% confidence interval, 2.5-11.1; p = 0.0021), and a significant improvement in the SGRQ subscores and in the symptoms-free periods were also observed. From the social perspective, the mean total costs showed savings of -1,022 (95% confidence interval, -2,165 to 122; p = 0.0795) in intervention group as compared to usual care. The incremental analysis confirmed that the intervention was cost-effective. CONCLUSIONS: The implementation of an asthma management program based in GINA recommendations improved the patient's health related quality of life and was cost-effective as compared to usual care.",2005,Feb 19,Medicina Clinica,124,6,201-206,WOS:000227417000001,10.1157/13071758,"",Plaza 2005,Exclusion reason: Not previously evaluated; 
Randomized controlled trial of an informatics-based intervention to increase statin prescription for secondary prevention of coronary disease,"Lester, W. T.; Grant, R. W.; Barnett, G. O.; Chueh, H. C.","OBJECTIVE: Suboptimal treatment of hyperlipidemia in patients with coronary artery disease (CAD) is well documented. We report the impact of a computer-assisted physician-directed intervention to improve secondary prevention of hyperlipidemia. DESIGN AND SETTING: Two hundred thirty-five patients under the care of 14 primary care physicians in an academically affiliated practice with an electronic health record were enrolled in this proof-of-concept physician-blinded randomized, controlled trial. Each patient with CAD or risk equivalent above National Cholesterol Education Program-recommended low-density lipoprotein (LDL) treatment goal for greater than 6 months was randomized, stratified by physician and baseline LDL. Physicians received a single e-mail per intervention patient. E-mails were visit independent, provided decision support, and facilitated ""one-click"" order writing. MEASUREMENTS: The primary outcomes were changes in hyperlipidemia prescriptions, time to prescription change, and changes in LDL levels. The time spent using the system was assessed among intervention patients. RESULTS: A greater proportion of intervention patients had prescription changes at I month (15.3% vs 2%, P=.001) and 1 year (24.6% vs 17.1%, P=.14). The median interval to first medication adjustment occurred earlier among intervention patients (0 vs 7.1 months, P=.005). Among patients with baseline LDLs > 130 mg/dL. the first postintervention LDLs were substantially lower in the intervention group (119.0 vs 138.0 mg/dL, P=.04). Physician processing time was under 60 seconds per e-mail. CONCLUSION: A visit-independent disease management tool resulted in significant improvement in secondary prevention of hyperlipidemia at I-month postintervention and showed a trend toward improvement at I year.",2006,Jan,Journal of General Internal Medicine,21,1,22-29,WOS:000235163600004,10.1111/j.1525-1497.2005.00268.x,"",Lester 2006,Exclusion reason: Not previously evaluated; 
Impact of computerized decision support on blood pressure management and control: A randomized controlled trial,"Hicks, LeRoi S.; Sequist, Thomas D.; Ayanian, John Z.; Shaykevich, Shimon; Fairchild, David G.; Orav, E. John; Bates, David W.","BACKGROUND: We conducted a cluster randomized controlled trial to examine the effectiveness of computerized decision support (CDS) designed to improve hypertension care and outcomes in a racially diverse sample of primary care patients. METHODS: We randomized 2,027 adult patients receiving hypertension care in 14 primary care practices to either 18 months of their physicians receiving CDS for each hypertensive patient or to usual care without computerized support for the control group. We assessed prescribing of guideline-recommended drug therapy and levels of blood pressure control for patients in each group and examined if the effects of the intervention differed by patients' race/ethnicity using interaction terms. MEASUREMENTS AND MAIN RESULTS: Rates of blood pressure control were 42% at baseline and 46% at the outcome visit with no significant differences between groups. After adjustment for patients' demographic and clinical characteristics, number of prior visits, and levels of baseline blood pressure control, there were no differences between intervention groups in the odds of outcome blood pressure control. The use of CDS to providers significantly improved Joint National Committee (JNC) guideline adherent medication prescribing compared to usual care (7% versus 5%, P < 0.001); the effects of the intervention remained after multivariable adjustment (odds ratio [OR] 1.39 [CI, 1.13-1.72]) and the effects of the intervention did not differ by patients' race and ethnicity. CONCLUSIONS: CDS improved appropriate medication prescribing with no improvement in disparities in care and overall blood pressure control. Future work focusing on improvement of these interventions and the study of other practical interventions to reduce disparities in hypertension-related outcomes is needed.",2008,Apr,Journal of General Internal Medicine,23,4,429-441,WOS:000254456400014,10.1007/s11606-007-0403-1,"",Hicks 2008,Exclusion reason: Not multi-faceted; 
Implementing clinical guidelines in the treatment of hypertension in general practice - Evaluation of patient outcome related to implementation of a computer-based clinical decision support system,"Hetlevik, I.; Holmen, J.; Kruger, O.","Objective - To evaluate the implementation of clinical guidelines for hypertension in general practice by use of a computer-based clinical decision support system (CDSS) and a specific implementation strategy. Evaluation of patient outcome. Design - Randomised study with health centres as units. The intervention group had the CDSS installed and made ready for use, doctors and assistants were trained and received a user-manual, the doctors were offered telephone repetitions, a seminar in risk intervention and, at the same seminar, further demonstration of the CDSS. The doctors received baseline registrations with information of how they treated their own hypertensive patients, and use of the CDSS was checked repeatedly. Setting - General practice in Sor- and Nord-Trondelag counties in Norway, 380 000 inhabitants. Participants - Seventeen health centres with 24 doctors and 984 patients in the intervention group. Data from 879 patients used in the final analyses. Twelve health centres with 29 doctors and 1255 patients in the control group. Data from 1119 patients used in the final analyses. Main outcome measures - After an intervention period of 18 months, group differences in level of systolic and diastolic blood pressure, serum cholesterol, body mass index, and risk score for myocardial infarction were calculated, as well as group differences in fractions of smokers. Results - Significant group difference in favour of intervention group: diastolic blood pressure 1 mmHg (95% CI -1.89, -0.17). However, a significant baseline difference in systolic blood pressure in favour of control group of 2.7 mmHg (95% CI 1.0, 4.5) had been reduced to 1.2 mmHg (95% CI -0.6, 3.0) after intervention. Conclusion - Implementation of clinical guidelines in the treatment of hypertensive patients in general practice by means of a CDSS and several other procedures for implementation did not affect patient outcome in any clinically significant way.",1999,Mar,Scandinavian Journal of Primary Health Care,17,1,35-40,WOS:000079818400009,"","",Hetlevik 1999,Exclusion reason: Not previously evaluated; 
Effect of Computerized Provider Order Entry with Clinical Decision Support on Adverse Drug Events in the Long-Term Care Setting,"Gurwitz, Jerry H.; Field, Terry S.; Rochon, Paula; Judge, James; Harrold, Leslie R.; Bell, Chaim M.; Lee, Monica; White, Kathleen; LaPrino, Jane; Erramuspe-Mainard, Janet; DeFlorio, Martin; Gavendo, Linda; Baril, Joann L.; Reed, George; Bates, David W.","To evaluate the efficacy of computerized provider order entry with clinical decision support for preventing adverse drug events in long-term care. Cluster-randomized controlled trial. Two large long-term care facilities. One thousand one hundred eighteen long-term care residents of 29 resident care units. The 29 resident care units, each with computerized provider order entry, were randomized to having a clinical decision support system (intervention units) or not (control units). The number of adverse drug events, severity of events, and whether the events were preventable. Within intervention units, 411 adverse drug events occurred over 3,803 resident-months of observation time; 152 (37.0%) were deemed preventable. Within control units, there were 340 adverse drug events over 3,257 resident-months of observation time; 126 (37.1%) were characterized as preventable. There were 10.8 adverse drug events per 100 resident-months and 4.0 preventable events per 100 resident-months on intervention units. There were 10.4 adverse drug events per 100 resident-months and 3.9 preventable events per 100 resident-months on control units. Comparing intervention and control units, the adjusted rate ratios were 1.06 (95% confidence interval (CI)=0.92-1.23) for all adverse drug events and 1.02 (95% CI=0.81-1.30) for preventable adverse drug events. Computerized provider order entry with decision support did not reduce the adverse drug event rate or preventable adverse drug event rate in the long-term care setting. Alert burden, limited scope of the alerts, and a need to more fully integrate clinical and laboratory information may have affected efficacy.",2008,Dec,Journal of the American Geriatrics Society,56,12,2225-2233,WOS:000261364100008,10.1111/j.1532-5415.2008.02004.x,"",Gurwitz 2008,Exclusion reason: Not multi-faceted; 
Reducing the Prescribing of Heavily Marketed Medications: A Randomized Controlled Trial,"Fortuna, Robert J.; Zhang, Fang; Ross-Degnan, Dennis; Campion, Francis X.; Finkelstein, Jonathan A.; Kotch, Jamie B.; Feldstein, Adrianne C.; Smith, David H.; Simon, Steven R.","Prescription drug costs are a major component of health care expenditures, yet resources to support evidence-based prescribing are not widely available. To evaluate the effectiveness of computerized prescribing alerts, with or without physician-led group educational sessions, to reduce the prescribing of heavily marketed hypnotic medications. Cluster-randomized controlled trial. We randomly allocated 14 internal medicine practice sites to receive usual care, computerized prescribing alerts alone, or alerts plus group educational sessions. Proportion of heavily marketed hypnotics prescribed before and after the implementation of computerized alerts and educational sessions. The activation of computerized alerts held the prescribing of heavily marketed hypnotic medications at pre-intervention levels in both the alert-only group (adjusted risk ratio [RR] 0.97; 95% CI 0.82-1.14) and the alert-plus-education group (RR 0.98; 95% CI 0.83-1.17) while the usual-care group experienced an increase in prescribing (RR 1.31; 95% CI 1.08-1.60). Compared to the usual-care group, the relative risk of prescribing heavily marketed medications was less in both the alert-group (Ratio of risk ratios [RRR] 0.74; 95% CI 0.57-0.96) and the alert-plus-education group (RRR 0.74; 95% CI 0.58-0.97). The prescribing of heavily marketed medications was similar in the alert-group and alert-plus-education group (RRR 1.02; 95% CI 0.80-1.29). Most clinicians reported that the alerts provided useful prescribing information (88%) and did not interfere with daily workflow (70%). Computerized decision support is an effective tool to reduce the prescribing of heavily marketed hypnotic medications in ambulatory care settings. clinicaltrials.gov Identifier: NCT00788346.",2009,Aug,Journal of General Internal Medicine,24,8,897-903,WOS:000268069500002,10.1007/s11606-009-1013-x,"",Fortuna 2009,Exclusion reason: Not multi-faceted; 
"Costs associated with developing and implementing a computerized clinical decision support system for medication dosing, for patients with renal insufficiency in the long-term care setting","Field, Terry S.; Rochon, Paula; Lee, Monica; Gavendo, Linda; Subramanian, Sujha; Hoover, Sonia; Baril, Joann; Gurwitz, Jerry","A team of physicians, pharmacists, and informatics professionals developed a CDSS added to a commercial electronic medical record system to provide prescribers with patient-specific maximum dosing recommendations based on renal function. We tracked the time spent by team members and used US national averages of relevant hourly wages to estimate costs. The team required 924.5 hours and $48,668.57 in estimated costs to develop 94 alerts for 62 drugs. The most time intensive phase of the project was preparing the contents of the CDSS (482.25 hours, $27,455.61). Physicians were the team members with the highest time commitment (414.25 hours, $25,902.04). Estimates under alternative scenarios found lower total cost estimates with the existence of a valid renal dosing database ($34,200.71) or an existing decision support add-on for renal dosing ($23,694.51). Development of a CDSS for a commercial computerized prescriber order entry system requires extensive commitment of personnel, particularly among clinical staff.",2008,Jul-Aug,Journal of the American Medical Informatics Association,15,4,466-472,WOS:000257794700010,10.1197/jamia.M2589,"",Field 2008,Exclusion reason: Not multi-faceted; 
Computerized Clinical Decision Support During Medication Ordering for Long-term Care Residents with Renal Insufficiency,"Field, Terry S.; Rochon, Paula; Lee, Monica; Gavendo, Linda; Baril, Joann L.; Gurwitz, Jerry H.","Objective: To determine whether a computerized clinical decision support system providing patient-specific recommendations in real-time improves the quality of prescribing for long-term care residents with renal insufficiency. Design: Randomized trial within the long-stay units of a large long-term care facility. Randomization was within blocks by unit type. Alerts related to medication prescribing for residents with renal insufficiency were displayed to prescribers in the intervention units and hidden but tracked in control units. Measurement: The proportions of final drug orders that were appropriate were compared between intervention and control units within alert categories: (1) recommended medication doses; (2) recommended administration frequencies; (3) recommendations to avoid the drug; (4) warnings of missing information. Results: The rates of alerts were nearly equal in the intervention and control units: 2.5 per 1,000 resident days in the intervention units and 2.4 in the control units. The proportions of dose alerts for which the final drug orders were appropriate were similar between the intervention and control units (relative risk 0.95, 95% confidence interval 0.83, 11) for the remaining alert categories significantly higher proportions of final drug orders were appropriate in the intervention units: relative risk 2.4 for maximum frequency (1.4, 4.4); 2.6 for drugs that should be avoided (1.4, 5.0); and 1.8 for alerts to acquire missing information (1.1, 3.4). Overall, final drug orders were appropriate significantly more often in the intervention units-relative risk 1.2 (1.0, 1.4). Conclusions: Clinical decision support for physicians prescribing medications for long-term care residents with renal insufficiency can improve the quality of prescribing decisions.",2009,Jul-Aug,Journal of the American Medical Informatics Association,16,4,480-485,WOS:000267995500007,10.1197/jamia.M2981,"",Field 2009,Exclusion reason: Not multi-faceted; 
